seed,mutation-id,attempt-id,compiler-1,compiler-2,fail-reason,return-code
00006.c.clean,0,0,gcc-12,gcc-11,timeout,
00006.c.clean,0,1,gcc-12,gcc-11,timeout,
00006.c.clean,0,2,gcc-12,gcc-11,timeout,
00006.c.clean,0,3,gcc-12,gcc-11,timeout,
00006.c.clean,0,4,gcc-12,gcc-11,timeout,
00006.c.clean,1,0,gcc-12,gcc-11,timeout,
00006.c.clean,1,1,gcc-12,gcc-11,timeout,
00006.c.clean,1,2,gcc-12,gcc-11,timeout,
00006.c.clean,1,3,gcc-12,gcc-11,timeout,
00006.c.clean,1,4,gcc-12,gcc-11,timeout,
00007.c.clean,0,0,gcc-12,gcc-11,timeout,
00007.c.clean,0,1,gcc-12,gcc-11,timeout,
00007.c.clean,0,2,gcc-12,gcc-11,timeout,
00007.c.clean,0,3,gcc-12,gcc-11,timeout,
00007.c.clean,0,4,gcc-12,gcc-11,timeout,
00007.c.clean,1,0,gcc-12,gcc-11,timeout,
00007.c.clean,1,1,gcc-12,gcc-11,timeout,
00007.c.clean,1,2,gcc-12,gcc-11,timeout,
00007.c.clean,1,3,gcc-12,gcc-11,timeout,
00007.c.clean,1,4,gcc-12,gcc-11,timeout,
00008.c.clean,0,0,gcc-12,gcc-11,timeout,
00008.c.clean,0,1,gcc-12,gcc-11,timeout,
00008.c.clean,0,2,gcc-12,gcc-11,timeout,
00008.c.clean,0,3,gcc-12,gcc-11,timeout,
00008.c.clean,0,4,gcc-12,gcc-11,timeout,
00008.c.clean,1,0,gcc-12,gcc-11,timeout,
00008.c.clean,1,1,gcc-12,gcc-11,timeout,
00008.c.clean,1,2,gcc-12,gcc-11,timeout,
00008.c.clean,1,3,gcc-12,gcc-11,timeout,
00008.c.clean,1,4,gcc-12,gcc-11,timeout,
00015.c.clean,0,0,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-0-0.c:4:6: runtime error: index 81 out of bounds for type 'int [44]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-0-0.c:4:11: runtime error: store to address 0x7ffed896f154 with insufficient space for an object of type 'int'
0x7ffed896f154: note: pointer points here
  00 00 00 00 8b 7f 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00
              ^ 
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-0-0.c:5:6: runtime error: index 75 out of bounds for type 'int [44]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-0-0.c:5:11: runtime error: store to address 0x7ffed896f13c with insufficient space for an object of type 'int'
0x7ffed896f13c: note: pointer points here
  40 20 a4 6c 8b 7f 00 00  b3 29 e9 2e 1d 6a c3 f6  b3 29 81 95 09 03 28 f6  00 00 00 00 64 00 00 00
              ^ 
",160
00015.c.clean,0,1,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-0-0.c:4:6: runtime error: index 100 out of bounds for type 'int [4]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-0-0.c:4:12: runtime error: store to address 0x7ffc9a986460 with insufficient space for an object of type 'int'
0x7ffc9a986460: note: pointer points here
 fc 7f 00 00  91 72 98 9a fc 7f 00 00  a2 72 98 9a fc 7f 00 00  b0 72 98 9a fc 7f 00 00  1d 73 98 9a
              ^ 
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-0-0.c:5:6: runtime error: index 69 out of bounds for type 'int [4]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-0-0.c:5:11: runtime error: store to address 0x7ffc9a9863e4 with insufficient space for an object of type 'int'
0x7ffc9a9863e4: note: pointer points here
  10 64 98 9a fc 7f 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  05 91 15 24 b8 55 00 00
              ^ 
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-0-0.c:6:14: runtime error: index 11 out of bounds for type 'int [4]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-0-0.c:6:14: runtime error: load of address 0x7ffc9a9862fc with insufficient space for an object of type 'int'
0x7ffc9a9862fc: note: pointer points here
  18 64 98 9a fc 7f 00 00  01 00 00 00 00 00 00 00  90 6d 5a a4 8f 7f 00 00  00 00 00 00 00 00 00 00
              ^ 
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-0-0.c:6:24: runtime error: index 82 out of bounds for type 'int [4]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-0-0.c:6:24: runtime error: load of address 0x7ffc9a986418 with insufficient space for an object of type 'int'
0x7ffc9a986418: note: pointer points here
 00 00 00 00  5f 71 98 9a fc 7f 00 00  00 00 00 00 00 00 00 00  f3 71 98 9a fc 7f 00 00  03 72 98 9a
              ^ 
",91
00015.c.clean,1,0,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-1-0.c:5:6: runtime error: index 82 out of bounds for type 'int [21]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-1-0.c:5:11: runtime error: store to address 0x7ffe7a1de118 with insufficient space for an object of type 'int'
0x7ffe7a1de118: note: pointer points here
 00 00 00 00  00 f1 63 af 46 56 00 00  50 e1 1d 7a fe 7f 00 00  00 00 00 00 00 00 00 00  00 00 00 00
              ^ 
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-1-0.c:6:14: runtime error: index 70 out of bounds for type 'int [21]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-1-0.c:6:14: runtime error: load of address 0x7ffe7a1de0e8 with insufficient space for an object of type 'int'
0x7ffe7a1de0e8: note: pointer points here
 00 00 00 00  40 ce 7c 01 8c 7f 00 00  68 e1 1d 7a fe 7f 00 00  88 1d 64 af 46 56 00 00  e0 52 04 02
              ^ 
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-1-0.c:6:24: runtime error: index 53 out of bounds for type 'int [21]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00015.c.clean-mutation-1-0.c:6:24: runtime error: load of address 0x7ffe7a1de0a4 with insufficient space for an object of type 'int'
0x7ffe7a1de0a4: note: pointer points here
  9c d2 b7 1e cd 0c 9d c5  9c d2 9f 44 0f fa 79 c5  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00
              ^ 
",211
00032.c.clean,0,0,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00032.c.clean-mutation-0-0.c:7:11: runtime error: index 78 out of bounds for type 'int [66]'
",3
00032.c.clean,0,1,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00032.c.clean-mutation-0-0.c:6:6: runtime error: index 76 out of bounds for type 'int [63]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00032.c.clean-mutation-0-0.c:6:11: runtime error: store to address 0x7ffc83ed7fc0 with insufficient space for an object of type 'int'
0x7ffc83ed7fc0: note: pointer points here
 3a 7f 00 00  00 00 00 00 00 00 00 00  a9 e1 ab d9 7f 55 00 00  00 00 00 00 01 00 00 00  c8 80 ed 83
              ^ 
",59
00032.c.clean,0,2,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00032.c.clean-mutation-0-0.c:5:6: runtime error: index 91 out of bounds for type 'int [85]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00032.c.clean-mutation-0-0.c:5:11: runtime error: store to address 0x7ffd851fc5bc with insufficient space for an object of type 'int'
0x7ffd851fc5bc: note: pointer points here
  00 00 00 00 00 00 00 00  01 00 00 00 00 00 00 00  90 4d 7e 3c 33 7f 00 00  00 00 00 00 00 00 00 00
              ^ 
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00032.c.clean-mutation-0-0.c:7:11: runtime error: index 99 out of bounds for type 'int [85]'
",13
00032.c.clean,0,3,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00032.c.clean-mutation-0-0.c:7:11: runtime error: index 97 out of bounds for type 'int [80]'
",73
00034.c.clean,0,0,gcc-12,gcc-11,timeout,
00034.c.clean,0,1,gcc-12,gcc-11,timeout,
00034.c.clean,0,2,gcc-12,gcc-11,timeout,
00034.c.clean,0,3,gcc-12,gcc-11,timeout,
00034.c.clean,0,4,gcc-12,gcc-11,timeout,
00034.c.clean,1,0,gcc-12,gcc-11,timeout,
00034.c.clean,1,1,gcc-12,gcc-11,timeout,
00034.c.clean,1,2,gcc-12,gcc-11,timeout,
00034.c.clean,1,3,gcc-12,gcc-11,timeout,
00034.c.clean,1,4,gcc-12,gcc-11,timeout,
00037.c.clean,1,0,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00037.c.clean-mutation-1-0.c:5:4: runtime error: index 65 out of bounds for type 'int [37]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00037.c.clean-mutation-1-0.c:5:9: runtime error: store to address 0x7ffc82bb8d84 with insufficient space for an object of type 'int'
0x7ffc82bb8d84: note: pointer points here
  85 11 a1 de dd 77 33 a2  85 11 49 be 3c 4b 84 a2  00 00 00 00 a7 7f 00 00  00 00 00 00 00 00 00 00
              ^ 
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00037.c.clean-mutation-1-0.c:6:9: runtime error: index 89 out of bounds for type 'int [37]'
",16
00037.c.clean,1,1,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00037.c.clean-mutation-1-0.c:5:4: runtime error: index 43 out of bounds for type 'int [25]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00037.c.clean-mutation-1-0.c:5:9: runtime error: store to address 0x7ffcb0e6ff1c with insufficient space for an object of type 'int'
0x7ffcb0e6ff1c: note: pointer points here
  8a 3a c4 0d 88 fb 4e 58  f8 ff e6 b0 fc 7f 00 00  a9 a1 2e 91 75 55 00 00  98 cd 2e 91 75 55 00 00
              ^ 
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00037.c.clean-mutation-1-0.c:6:9: runtime error: index 77 out of bounds for type 'int [25]'
",32
00037.c.clean,1,2,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00037.c.clean-mutation-1-0.c:5:4: runtime error: index 92 out of bounds for type 'int [87]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00037.c.clean-mutation-1-0.c:5:9: runtime error: store to address 0x7ffca496f070 with insufficient space for an object of type 'int'
0x7ffca496f070: note: pointer points here
 77 f1 e1 ad  01 00 00 00 00 00 00 00  90 bd 63 3b 00 7f 00 00  00 00 00 00 00 00 00 00  a9 01 b8 f9
              ^ 
",30
00037.c.clean,1,3,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00037.c.clean-mutation-1-0.c:6:9: runtime error: index 69 out of bounds for type 'int [63]'
",3
00037.c.clean,1,4,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00037.c.clean-mutation-1-0.c:5:4: runtime error: index 87 out of bounds for type 'int [43]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00037.c.clean-mutation-1-0.c:5:9: runtime error: store to address 0x7fffd2bcc37c with insufficient space for an object of type 'int'
0x7fffd2bcc37c: note: pointer points here
  00 45 9b 23 4b d4 6c ac  00 00 00 00 00 00 00 00  40 ae 84 cb 1e 7f 00 00  08 c4 bc d2 ff 7f 00 00
              ^ 
",50
00072.c.clean,1,0,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00072.c.clean-mutation-1-0.c:5:11: runtime error: index 98 out of bounds for type 'int [82]'
",7
00072.c.clean,1,1,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00072.c.clean-mutation-1-0.c:5:11: runtime error: index 94 out of bounds for type 'int [26]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00072.c.clean-mutation-1-0.c:8:10: runtime error: index 31 out of bounds for type 'int [26]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00072.c.clean-mutation-1-0.c:8:10: runtime error: load of address 0x7ffd124baa6c with insufficient space for an object of type 'int'
0x7ffd124baa6c: note: pointer points here
  90 4d 65 7d c1 7f 00 00  00 00 00 00 00 00 00 00  a9 01 45 a0 c6 55 00 00  00 00 00 00 01 00 00 00
              ^ 
",34
00072.c.clean,1,2,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00072.c.clean-mutation-1-0.c:5:11: runtime error: index 64 out of bounds for type 'int [15]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00072.c.clean-mutation-1-0.c:8:10: runtime error: index 32 out of bounds for type 'int [15]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00072.c.clean-mutation-1-0.c:8:10: runtime error: load of address 0x7fff83f2d180 with insufficient space for an object of type 'int'
0x7fff83f2d180: note: pointer points here
 ff 7f 00 00  00 00 00 00 00 00 00 00  4a 6d 3c 84 78 56 0d ef  68 d2 f2 83 ff 7f 00 00  a9 41 e6 1b
              ^ 
",27
00073.c.clean,0,0,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00073.c.clean-mutation-0-0.c:8:10: runtime error: index 76 out of bounds for type 'int [19]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00073.c.clean-mutation-0-0.c:8:10: runtime error: load of address 0x7ffcb3c907b0 with insufficient space for an object of type 'int'
0x7ffcb3c907b0: note: pointer points here
 00 00 00 00  00 00 00 00 00 00 00 00  c0 f0 cd 45 a6 55 00 00  f0 07 c9 b3 fc 7f 00 00  00 00 00 00
              ^ 
",78
00073.c.clean,1,0,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00073.c.clean-mutation-1-0.c:5:11: runtime error: index 58 out of bounds for type 'int [34]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00073.c.clean-mutation-1-0.c:8:10: runtime error: index 50 out of bounds for type 'int [34]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00073.c.clean-mutation-1-0.c:8:10: runtime error: load of address 0x7ffd801cf0b8 with insufficient space for an object of type 'int'
0x7ffd801cf0b8: note: pointer points here
 00 00 00 00  7c a1 32 7a 58 f3 8a 9f  98 f1 1c 80 fd 7f 00 00  a9 31 93 60 1e 56 00 00  98 5d 93 60
              ^ 
",30
00077.c.clean,0,0,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00077.c.clean-mutation-0-0.c:34:4: runtime error: index 84 out of bounds for type 'int [65]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00077.c.clean-mutation-0-0.c:34:9: runtime error: store to address 0x7ffd7ed6ae40 with insufficient space for an object of type 'int'
0x7ffd7ed6ae40: note: pointer points here
 b9 b1 3e e9  18 af d6 7e fd 7f 00 00  b6 63 ff 98 9a 55 00 00  98 8d ff 98 9a 55 00 00  40 d0 6b 67
              ^ 
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00077.c.clean-mutation-0-0.c:5:4: runtime error: index 77 out of bounds for type 'int [55]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00077.c.clean-mutation-0-0.c:5:9: runtime error: store to address 0x7ffd7ed6ad14 with insufficient space for an object of type 'int'
0x7ffd7ed6ad14: note: pointer points here
  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00
              ^ 
",93
00077.c.clean,0,1,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00077.c.clean-mutation-0-0.c:5:4: runtime error: index 90 out of bounds for type 'int [9]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00077.c.clean-mutation-0-0.c:5:9: runtime error: store to address 0x7ffc184adc88 with insufficient space for an object of type 'int'
0x7ffc184adc88: note: pointer points here
 00 00 00 00  00 ac 2a bc 70 f2 4f d6  00 00 00 00 00 00 00 00  40 be e9 f8 be 7f 00 00  18 dd 4a 18
              ^ 
",75
00090.c.clean,0,0,gcc-12,gcc-11,"/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00090.c.clean-mutation-0-0.c:4:8: runtime error: index 28 out of bounds for type 'int [12]'
/mnt/c/Users/jonas/OneDrive/documents/eth/master/sem1/automated-software-testing/project/ast-project/test/prepared/00090.c.clean-mutation-0-0.c:4:8: runtime error: load of address 0x562ac7725090 with insufficient space for an object of type 'int'
0x562ac7725090: note: pointer points here
 ff ff ff ff  5a 50 72 c7 2a 56 00 00  50 50 72 c7 2a 56 00 00  08 30 72 c7 2a 56 00 00  04 00 00 00
              ^ 
",63
